"best victory avg cost","min cost","max cost"
140,98,196.399
138.11764705882,93,195.091
131.35294117647,82,193.986
136.58823529412,82,195
136.26470588235,73,195
131.91176470588,82,192.007
131.91176470588,73,190.983
136.97058823529,93,190.001
134.44117647059,93,189.219
135.02941176471,73,187.925
135.55882352941,100,187.25
135.02941176471,93,186.235
133.85294117647,93,185.102
131.64705882353,93,184.311
130.44117647059,93,183.237
128.97058823529,93,182.343
127.97058823529,93,181.615
129.76470588235,93,181.091
127.33333333333,93,180.021
128.55882352941,93,179.115
126.23529411765,93,178.434
124.73529411765,93,178.151
125.58823529412,93,177.412
124.15151515152,93,176.416
126.5,93,175.745
123.58823529412,93,175.257
124,93,174.614
123.45454545455,93,173.663
122.87878787879,93,172.915
121.06060606061,90,172.193
122.51515151515,90,171.836
122.54545454545,90,171.22
120.78787878788,90,170.53
121.82352941176,90,169.606
123.06060606061,93,168.658
120.66666666667,90,167.856
122.82352941176,93,167.432
124.26470588235,90,166.8
119.79411764706,90,166.351
120.33333333333,90,165.618
122.36363636364,97,164.972
121.36363636364,97,164.209
119.90909090909,89,163.196
119.72727272727,89,162.889
120.91176470588,89,161.957
119.85294117647,89,161.559
120.36363636364,97,160.786
119.58823529412,89,160.32
120.64705882353,97,159.864
118.88235294118,90,159.755
117.82352941176,90,159.02
118.08823529412,90,158.301
117.70588235294,90,157.715
115.88235294118,85,157.154
117.26470588235,85,156.575
117.52941176471,85,156.194
116.70588235294,85,155.253
117.20588235294,85,154.417
117.11428571429,85,153.983
117.58823529412,85,153.875
117.22857142857,85,153.646
117.34285714286,85,152.71
117.25714285714,85,152.329
117.4,85,151.655
115.6,85,150.864
117.47222222222,85,150.402
114.63888888889,85,149.961
116.48571428571,85,149.532
115.63888888889,85,149.022
115.97222222222,85,148.569
115.69444444444,85,148.024
116.19444444444,85,147.607
115.47222222222,85,147.281
115.02777777778,85,146.586
114.47222222222,85,146.073
114.77777777778,85,145.719
115.51351351351,85,145.207
114.52777777778,85,144.782
113.36111111111,85,144.227
113.47222222222,85,143.73
112.67567567568,85,143.434
112.05555555556,85,142.95
112.97222222222,85,142.464
112.86111111111,85,142.187
113.27027027027,85,141.717
112.48648648649,85,141.452
112.86486486486,85,140.844
111.35135135135,85,140.407
112.16216216216,85,139.897
112.16216216216,85,139.605
112.10810810811,85,139.154
112.32432432432,85,138.731
112.57894736842,85,138.37
111.5,85,137.868
111,85,137.579
110.94736842105,85,136.849
111.34210526316,85,136.333
111.10526315789,85,136.048
109.26315789474,85,135.68
110.23684210526,85,135.127
109.28947368421,85,134.61
110.07894736842,85,134.21
110.02564102564,85,133.634
109.60526315789,85,133.071
108.51282051282,85,132.573
108.87179487179,85,132.284
108.79487179487,85,131.674
108.20512820513,85,131.145
107.5641025641,85,130.824
108.5641025641,85,130.481
108.07692307692,85,130.049
108.20512820513,85,129.808
108.35897435897,85,129.562
108.58974358974,85,129.556
107.17948717949,85,129.376
107.05128205128,85,129.372
107.20512820513,85,129.097
107.38461538462,81,128.505
107,85,128.262
107.475,81,128.014
108.33333333333,85,127.672
107.575,81,127.287
108.075,85,126.995
106.6,81,126.705
108.35,85,126.509
106.45,85,126.323
106.675,85,126.128
106.6,81,125.63
106.8,85,125.293
105.92682926829,81,124.966
105.63414634146,81,124.783
105.575,81,124.648
105.925,81,124.395
105.82926829268,81,124.161
105.90243902439,81,123.963
104.43902439024,81,123.888
105.56097560976,81,123.26
105.0243902439,81,123.089
105.87804878049,81,122.846
104.9512195122,81,122.71
104.12195121951,81,122.32
105.41463414634,81,122.029
104.92682926829,81,121.912
104.56097560976,81,121.567
104.09756097561,81,121.188
104.68292682927,81,120.807
103.70731707317,85,120.414
103.43902439024,81,120.085
103.14634146341,81,119.491
104.28571428571,81,119.531
104.14634146341,81,119.003
104.0487804878,81,118.874
103.48780487805,81,118.584
103.9756097561,85,118.436
103.73170731707,81,118.174
102.38095238095,81,118.011
104.24390243902,85,117.762
103.31707317073,81,117.451
103.58536585366,81,117.083
104.45238095238,81,116.961
102.42857142857,81,116.491
102.38095238095,81,116.08
101.7619047619,81,115.768
101.54761904762,81,115.604
103.80952380952,81,115.302
102.61904761905,81,115.091
101.42857142857,81,114.712
101.97674418605,81,114.408
101.80952380952,81,114.155
101.71428571429,81,114
100.38095238095,81,114
99.238095238095,81,113.551
100.14285714286,81,114
100.97619047619,81,114
99.690476190476,81,114
98.928571428571,81,112.588
101.13953488372,81,114
101.06976744186,81,114
100.27906976744,81,111.923
99.279069767442,81,111.73
98.325581395349,81,111.486
98.697674418605,81,111.13
99.162790697674,81,110.884
98.604651162791,81,110.712
97.023255813953,81,110.576
98.931818181818,81,110.333
98.75,81,110.368
99.272727272727,81,109.857
97.581395348837,81,109.798
97.681818181818,81,109.696
96.318181818182,81,109.662
98.75,81,109.475
97.840909090909,81,109.37
97.232558139535,81,109.154
95.906976744186,81,109
97.022727272727,81,109
96.386363636364,81,109
96.386363636364,81,109
95.681818181818,81,109
95.06976744186,81,109
